Maior65Anos,Conjuge,Dependentes,MesesDeContrato,TelefoneFixo,VariasLinhasTelefonicas,ServicoDeInternet,SegurancaOnline,BackupOnline,SeguroNoDispositivo,SuporteTecnico,TVaCabo,StreamingDeFilmes,TipoDeContrato,PagamentoOnline,FormaDePagamento,ContaMensal,Churn
0,Sim,Nao,1,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,29.85,Nao
0,Nao,Nao,34,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Nao,UmAno,Nao,ChequePapel,56.95,Nao
0,Nao,Nao,2,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequePapel,53.85,Sim
0,Nao,Nao,45,Nao,SemServicoTelefonico,DSL,Sim,Nao,Sim,Sim,Nao,Nao,UmAno,Nao,DebitoEmConta,42.3,Nao
0,Nao,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,70.7,Sim
0,Nao,Nao,8,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,99.65,Sim
0,Nao,Sim,22,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,CartaoDeCredito,89.1,Nao
0,Nao,Nao,10,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequePapel,29.75,Nao
0,Sim,Nao,28,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,Mensalmente,Sim,ChequeDigital,104.8,Sim
0,Nao,Sim,62,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,UmAno,Nao,DebitoEmConta,56.15,Nao
0,Sim,Sim,13,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequePapel,49.95,Nao
0,Nao,Nao,16,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,CartaoDeCredito,18.95,Nao
0,Sim,Nao,58,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,UmAno,Nao,CartaoDeCredito,100.35,Nao
0,Nao,Nao,49,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,DebitoEmConta,103.7,Sim
0,Nao,Nao,25,Sim,Nao,FibraOptica,Sim,Nao,Sim,Sim,Sim,Sim,Mensalmente,Sim,ChequeDigital,105.5,Nao
0,Sim,Sim,69,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,CartaoDeCredito,113.25,Nao
0,Nao,Nao,52,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Nao,ChequePapel,20.65,Nao
0,Nao,Sim,71,Sim,Sim,FibraOptica,Sim,Nao,Sim,Nao,Sim,Sim,DoisAnos,Nao,DebitoEmConta,106.7,Nao
0,Sim,Sim,10,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensalmente,Nao,CartaoDeCredito,55.2,Sim
0,Nao,Nao,21,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Nao,Sim,Mensalmente,Sim,ChequeDigital,90.05,Nao
